Recency,Frequency,Monetary,AvgItemsPerOrder,UniqueCategories,DaysBetweenOrders,ReturnRate,LoyaltyPoints,TargetProductsNext30d,TargetSpendNext30d
314,81,7933.49,11,8,38,0.23,5050,5,855.2
79,29,3431.2,6,6,33,0.13,683,32,752.61
178,18,3078.22,12,6,42,0.19,4500,35,4850.72
179,12,3712.91,3,5,58,0.18,6453,21,1926.69
334,76,6718.64,14,1,32,0.06,6211,24,657.09
171,7,2128.69,8,8,17,0.3,556,4,194.95
199,97,3379.3,6,6,35,0.07,9060,24,992.44
117,42,5466.84,9,5,37,0.25,2469,2,319.95
42,41,9023.77,13,6,59,0.09,7243,36,3393.71
274,9,152.36,13,1,17,0.25,6846,9,1113.89
320,56,4452.82,9,2,41,0.08,8405,37,1078.26
62,86,7486.65,12,6,27,0.26,6729,13,1595.51
165,73,4429.47,7,7,48,0.18,6665,5,216.22
294,42,6958.11,1,4,46,0.18,4366,5,309.78
264,43,7735.12,10,1,27,0.18,3435,39,5269.76
324,38,5196.71,14,6,54,0.22,4227,36,5495.42
187,80,9231.7,9,2,34,0.07,5511,18,3593.48
111,52,4721.35,4,7,34,0.2,2846,6,1168.65
7,37,4994.27,6,4,52,0.27,9007,10,633.01
6,27,9622.12,14,6,5,0.13,9483,38,1456.18
332,28,3994.19,8,1,4,0.15,1630,31,3373.96
64,61,8900.99,4,1,54,0.04,3342,33,1057.81
73,27,1335.19,8,6,6,0.11,3953,2,93.57
312,33,2419.55,3,4,32,0.14,659,4,80.77
359,4,6983.34,6,7,4,0.27,3410,18,2025.84
77,11,7735.18,8,8,25,0.21,4639,1,72.98
120,96,9278.72,6,8,59,0.08,2286,10,1306.42
98,64,5679.07,11,5,35,0.05,908,36,1046.85
108,34,9597.39,5,1,30,0.12,6635,27,2303.66
192,49,8700.94,3,1,52,0.21,4541,25,4430.69
261,32,207.79,11,1,57,0.23,9610,26,614.96
153,14,4062.29,14,7,43,0.22,5230,20,1610.12
56,24,9863.32,12,7,4,0.01,367,1,163.84
264,90,5897.45,14,7,35,0.14,9219,17,1959.06
187,99,5702.97,10,8,46,0.26,440,15,1990.51
8,56,2470.38,3,7,14,0.03,6094,27,4266.83
128,36,9929.62,2,1,16,0.03,5364,3,410.84
108,77,9300.7,11,1,45,0.08,8316,5,610.89
268,87,9322.48,13,1,20,0.11,3171,20,3275.4
146,98,4695.69,9,3,58,0.01,9509,17,378.58
195,80,6420.41,11,4,54,0.1,6352,34,4123.51
252,17,4405.24,10,6,56,0.24,6717,26,3794.65
343,56,6906.98,14,6,23,0.23,5605,36,2638.32
48,94,9145.04,3,9,50,0.17,143,5,551.26
214,10,7888.45,7,6,33,0.03,7298,18,3019.87
138,79,9573.99,7,5,6,0.07,2947,7,715.29
174,86,7868.25,1,9,4,0.0,6052,28,3237.11
192,59,1594.66,4,2,4,0.18,819,31,2998.94
191,10,1390.37,9,9,57,0.16,6942,36,4179.44
72,19,6524.59,13,6,16,0.14,1393,12,585.99
117,33,4413.63,8,8,53,0.21,7769,33,2174.59
174,28,6697.38,5,3,14,0.2,6089,17,850.37
302,42,6959.22,4,6,1,0.18,7208,5,226.41
238,32,3555.59,8,9,54,0.09,7162,9,1403.82
209,59,7641.54,7,8,6,0.08,1307,24,676.42
121,72,7597.51,9,4,35,0.09,931,33,1867.15
212,38,4574.56,3,3,28,0.17,6237,0,0.0
302,65,5924.15,7,8,57,0.04,8847,0,0.0
292,71,1792.13,6,5,34,0.21,2542,26,3958.7
126,42,8341.12,14,4,21,0.24,3541,21,3357.02
197,2,7129.28,14,5,33,0.15,4209,13,1786.52
324,96,3634.82,6,9,9,0.03,9523,12,1632.83
79,84,4061.76,8,3,34,0.13,7789,26,1414.03
18,9,1016.6,7,1,23,0.23,602,22,3083.89
260,73,6415.97,1,9,54,0.19,8596,39,2853.67
13,62,5666.48,4,9,4,0.12,8681,29,4927.57
263,94,7304.98,4,2,29,0.06,7447,3,350.88
42,90,4915.94,7,6,32,0.08,2558,20,2405.74
194,1,8721.19,4,5,32,0.17,8522,0,0.0
339,97,3436.5,11,9,39,0.03,8562,30,1053.7
67,69,8858.77,9,2,31,0.03,8056,31,720.43
354,66,5458.52,13,5,18,0.11,4508,26,1462.23
193,20,7091.1,7,1,53,0.19,1943,30,5462.01
286,47,5160.39,14,4,1,0.07,6229,9,315.77
138,90,8437.84,6,9,31,0.04,9368,4,589.5
2,92,8342.16,3,2,19,0.27,5213,36,7055.79
221,1,5795.19,12,4,54,0.25,9489,16,1007.42
107,13,9701.62,7,8,7,0.24,4852,15,790.02
14,95,5739.33,3,6,20,0.1,8229,27,3251.5
5,6,599.51,10,5,18,0.16,2119,12,1553.88
352,73,5842.2,6,9,39,0.11,950,31,4949.57
97,52,1811.17,1,8,25,0.21,4538,37,6694.58
5,13,6642.35,11,2,9,0.24,6696,0,0.0
223,85,4356.89,10,3,16,0.29,6801,14,2395.71
292,48,8014.51,7,8,39,0.29,4729,23,2282.93
49,76,2804.85,6,4,35,0.02,1108,12,1923.3
288,14,661.98,11,8,46,0.0,623,23,591.3
314,36,2140.17,2,3,13,0.3,8901,23,3318.23
289,75,1021.67,14,9,10,0.15,8054,12,1897.23
244,28,1847.21,3,6,10,0.23,2840,5,339.79
265,98,8613.86,4,7,24,0.07,9572,37,1836.37
327,1,4751.35,9,6,35,0.27,6320,25,3567.45
84,93,4190.69,8,5,20,0.02,3648,23,3922.77
175,17,8731.5,7,9,46,0.07,8653,25,3046.08
233,90,7813.37,2,6,24,0.14,470,17,1739.76
265,71,5778.73,5,9,20,0.22,4401,36,3507.33
77,29,8365.46,9,1,58,0.22,2322,35,3403.98
39,51,303.56,9,6,23,0.01,5670,25,905.3
42,11,465.9,3,4,47,0.25,3281,20,1177.18
294,40,5479.64,5,6,19,0.29,1743,35,6769.92
142,47,8380.26,14,4,36,0.26,7058,4,393.03
69,65,7706.0,5,1,3,0.15,8313,11,884.18
307,13,2219.75,13,3,19,0.27,3529,1,103.31
251,29,7428.52,8,8,5,0.02,610,0,0.0
10,84,5880.29,2,8,21,0.21,3786,25,4930.7
186,89,8590.97,6,2,15,0.3,5145,21,3257.45
259,65,9514.81,3,1,52,0.15,9314,35,5850.28
223,41,1663.47,10,3,5,0.13,2428,9,1081.06
211,39,6143.24,11,8,55,0.0,76,38,7151.33
169,86,4910.42,6,6,57,0.19,5747,23,2223.1
48,28,9760.48,3,3,6,0.07,2360,31,4591.95
217,73,3702.28,2,5,42,0.24,3430,23,3356.3
158,10,6216.17,2,4,56,0.09,3942,22,611.71
357,79,2634.03,4,7,53,0.24,2471,3,300.61
170,64,2795.75,6,8,24,0.16,9106,2,235.85
42,18,6868.31,1,8,42,0.28,1946,3,429.8
190,95,7560.92,6,5,11,0.12,2224,36,3356.84
306,57,1980.13,8,4,35,0.2,2101,23,1724.52
84,41,5456.69,11,8,2,0.22,3284,5,981.47
328,43,4683.43,3,7,28,0.14,3197,23,4000.79
12,97,3965.56,9,3,2,0.14,4629,16,2506.71
308,24,4055.18,10,2,52,0.09,526,29,1141.18
97,83,1182.77,14,3,49,0.23,4905,32,6161.43
117,51,7569.98,10,7,26,0.19,1999,35,1960.49
168,42,9805.13,1,8,22,0.27,8225,27,3836.74
12,46,9613.52,14,1,3,0.26,4284,9,360.74
263,22,4999.5,1,8,48,0.0,6839,21,2974.51
158,11,5889.01,3,2,49,0.17,1281,37,7362.48
244,65,8078.7,6,4,12,0.16,816,26,3959.75
357,21,8835.45,3,6,12,0.29,6504,22,3200.33
213,59,5389.84,1,4,44,0.17,6688,13,1778.4
252,31,56.33,13,7,18,0.27,3454,9,1060.27
184,40,1866.52,2,6,51,0.02,1253,5,201.95
270,98,4406.66,13,8,28,0.19,6620,5,875.99
119,89,7067.0,12,5,44,0.16,4167,38,6267.69
198,42,4195.27,12,6,23,0.14,9786,19,1174.33
49,79,889.71,1,9,46,0.02,9556,23,2101.76
332,64,7826.85,8,5,5,0.25,1771,15,2089.79
331,51,4723.42,1,3,38,0.09,9291,30,1963.43
224,61,4305.17,13,9,10,0.18,1097,0,0.0
137,83,122.85,3,3,20,0.07,139,31,665.06
350,2,6150.55,10,1,23,0.12,5650,25,974.62
262,10,6964.98,3,9,26,0.25,6793,10,218.8
336,3,7641.6,6,2,18,0.01,3359,26,2262.95
361,86,4132.99,12,8,54,0.2,2169,22,3899.58
109,15,4210.21,10,8,8,0.18,7337,35,5368.37
9,41,8605.9,5,6,31,0.11,4256,18,2319.08
194,86,388.7,12,8,45,0.06,3777,20,1867.53
198,54,1711.09,4,7,11,0.06,9022,35,6450.38
225,7,107.06,7,8,45,0.09,9285,18,1211.79
241,21,3942.15,4,5,9,0.11,5392,7,498.4
192,85,3524.26,7,1,41,0.13,1272,39,916.87
18,13,1583.23,12,7,57,0.14,3391,16,1859.51
326,96,5466.5,11,1,25,0.24,1019,29,1938.41
127,58,1802.73,14,6,12,0.07,3808,36,6140.37
308,82,4424.34,13,5,31,0.3,1143,12,2276.0
109,81,3666.92,3,6,6,0.18,9438,23,3608.14
98,98,5389.34,7,5,46,0.02,98,21,1138.66
323,67,5397.12,2,8,4,0.03,6384,12,2200.06
350,46,6996.44,9,8,22,0.2,1526,3,172.5
133,6,2154.46,2,1,45,0.08,1474,37,4843.19
93,19,5962.69,1,5,1,0.17,8311,11,1811.06
12,27,1378.67,3,5,50,0.04,7517,21,3485.46
91,42,2671.4,1,8,14,0.18,802,39,2659.44
161,60,6442.34,11,1,6,0.3,9646,19,3286.58
76,87,8902.93,9,2,10,0.27,3132,17,1548.22
27,97,1426.0,14,6,10,0.03,4688,21,905.52
357,67,7188.23,2,6,1,0.15,5714,28,3323.65
328,47,3794.79,13,3,40,0.16,3652,8,840.52
124,32,3020.82,2,6,50,0.0,7331,24,3657.96
247,6,7315.4,1,8,50,0.22,8661,34,1292.12
291,56,1992.16,7,2,39,0.09,2435,36,1080.72
169,5,6543.73,11,7,59,0.13,8262,17,3371.44
360,6,3521.02,8,8,56,0.03,3910,6,348.94
362,66,5274.75,8,9,55,0.23,5647,8,390.17
100,51,3353.18,8,8,54,0.03,4412,28,2065.51
178,88,8651.6,4,7,25,0.11,2700,33,4590.59
199,92,2309.35,14,3,30,0.15,1111,13,1199.41
4,31,6834.84,6,7,28,0.09,498,5,426.2
119,11,2351.34,2,4,35,0.01,4056,9,226.31
339,3,7352.06,13,2,8,0.12,4085,4,720.99
102,81,1004.05,3,9,15,0.18,294,6,293.62
359,36,7496.14,7,4,48,0.3,1008,39,857.1
347,10,3126.39,9,1,20,0.22,5729,15,616.49
162,65,9025.89,7,7,47,0.25,6407,0,0.0
317,95,3420.23,8,4,56,0.25,8580,22,3210.67
155,3,4368.99,2,4,25,0.04,4315,8,328.18
318,72,4651.52,3,2,55,0.04,3067,29,3040.62
324,29,3333.9,10,6,46,0.03,5264,23,3680.6
151,69,4636.12,9,9,46,0.28,7512,29,5169.48
323,73,6084.58,4,8,3,0.01,3188,20,716.45
354,3,9764.38,6,7,40,0.02,4673,38,2534.8
179,50,5757.19,4,2,57,0.01,3025,8,1397.79
342,28,508.27,7,8,10,0.04,6250,7,1267.29
87,5,7276.04,9,2,26,0.01,5731,15,2161.44
63,18,8833.51,4,9,2,0.28,272,37,2464.34
133,43,6336.1,14,2,30,0.11,3921,8,340.1
332,63,3247.96,6,6,53,0.28,3456,7,886.89
163,4,4459.31,10,9,9,0.18,8083,9,789.86
34,75,8041.53,14,4,49,0.05,7208,28,1269.14
198,53,1809.98,4,7,38,0.12,5409,15,2648.62
342,40,7856.03,12,9,41,0.08,341,34,4753.35
202,15,9560.5,9,6,16,0.02,6365,8,341.26
294,88,6600.62,3,2,7,0.13,2047,23,4226.61
283,99,7161.74,6,9,14,0.06,9821,0,0.0
195,34,6941.43,8,7,39,0.25,9193,11,1085.59
128,86,3888.12,12,5,18,0.27,1107,1,46.82
276,97,8203.97,11,2,4,0.18,7455,8,791.33
218,33,4846.82,14,1,53,0.08,3353,3,246.7
124,19,8767.63,7,3,20,0.0,9400,7,743.56
62,88,5688.42,2,5,24,0.09,1926,6,1193.25
15,67,2011.32,8,7,8,0.29,5409,1,156.45
30,54,9171.02,7,4,35,0.14,9722,32,4350.19
90,5,4435.71,5,4,57,0.2,9286,16,2733.28
117,22,8169.94,10,3,28,0.1,213,34,5463.9
146,98,8354.33,3,3,16,0.27,6557,31,2685.57
38,12,197.3,3,3,8,0.12,4441,28,3545.22
240,20,174.46,11,4,15,0.29,4304,1,157.36
53,28,3802.54,4,5,7,0.26,2222,27,4387.9
287,77,4199.55,11,4,57,0.24,2339,12,1058.77
327,25,1081.92,4,1,26,0.2,1904,36,725.13
298,29,92.74,11,6,50,0.22,2662,8,822.13
272,10,1393.47,12,5,24,0.16,7720,24,3334.51
63,77,5678.56,13,6,50,0.02,2971,24,1961.45
209,54,6630.94,2,4,4,0.18,5764,9,566.73
246,7,4097.23,4,2,47,0.13,9493,18,1545.66
264,99,3902.33,6,7,42,0.21,7562,22,920.62
307,47,5655.69,3,8,27,0.27,7690,11,1879.91
1,28,3768.63,10,4,40,0.23,8468,28,2974.12
16,59,1955.84,2,8,53,0.26,8146,4,523.78
38,50,6121.82,9,2,52,0.27,9057,13,610.68
81,69,2139.43,12,3,14,0.12,3262,38,3197.94
275,17,2464.21,5,8,22,0.05,7591,5,217.58
193,90,7287.8,4,7,23,0.08,6231,13,447.49
161,61,266.79,13,4,17,0.25,7507,17,804.55
359,95,8796.09,2,6,46,0.09,8070,35,3819.35
34,54,273.19,10,5,36,0.12,4084,5,374.07
61,78,8305.15,14,7,14,0.27,3833,4,631.46
38,3,7268.25,1,6,8,0.14,5137,37,2840.15
301,10,8941.77,6,2,11,0.28,8731,3,254.62
300,22,2542.77,4,5,12,0.26,7031,16,564.36
321,75,3287.61,5,5,15,0.08,1394,19,2351.65
289,58,6485.08,8,3,44,0.27,4049,9,1678.8
126,15,836.19,6,7,50,0.07,768,1,75.38
85,10,4278.49,7,8,25,0.28,5185,18,891.86
124,35,6667.79,4,7,58,0.09,2344,12,567.8
120,48,6835.27,4,1,56,0.23,3204,5,120.44
26,74,525.92,1,5,31,0.29,1851,34,5639.49
231,39,8031.76,6,7,44,0.24,7673,0,0.0
302,90,2424.53,11,1,2,0.27,1551,30,5801.59
131,86,6998.77,4,8,40,0.17,9224,25,2912.55
318,7,5967.29,2,5,48,0.0,3077,23,2166.21
139,27,2773.9,11,7,31,0.08,939,29,3444.98
186,41,414.57,11,9,28,0.2,4629,21,2257.92
128,36,5887.99,4,3,37,0.23,2046,16,2349.19
136,11,7070.68,1,5,21,0.15,1085,17,3001.17
31,65,8779.48,6,9,51,0.18,5159,33,1756.05
194,89,3167.31,6,4,50,0.07,3526,19,3233.14
127,88,305.72,10,5,11,0.17,7131,6,867.37
60,63,867.65,4,7,8,0.05,5725,30,5484.41
173,80,720.49,14,9,54,0.26,6890,17,1276.62
65,26,5335.94,7,5,10,0.09,8243,17,2441.96
296,16,9012.08,8,1,26,0.28,5980,31,5692.16
140,42,7733.65,3,5,24,0.23,3780,10,262.7
192,82,9563.08,9,3,4,0.04,3650,36,3455.7
247,55,7709.48,5,6,28,0.16,5704,39,7157.12
163,22,3648.88,8,3,17,0.14,1666,10,1180.44
127,94,6666.28,8,2,12,0.16,5439,0,0.0
345,34,1327.23,5,3,41,0.2,7702,37,2197.74
325,46,2719.65,13,7,15,0.19,3448,7,1391.94
247,93,690.23,2,2,18,0.03,1668,18,2910.72
130,3,4681.18,13,5,35,0.14,3556,14,2068.41
65,69,9009.99,13,7,37,0.19,5366,2,252.49
47,92,3596.43,12,8,3,0.2,3992,19,934.72
261,32,9695.03,4,3,10,0.28,6822,27,2628.62
37,62,9195.09,10,4,34,0.11,6075,27,3182.34
142,82,2685.31,8,9,29,0.15,2120,24,1635.8
97,33,7411.21,3,5,51,0.18,9466,20,1591.5
248,85,3065.97,3,4,58,0.01,1627,0,0.0
259,88,8115.18,8,1,17,0.12,4329,35,2150.4
339,95,8207.64,14,7,43,0.11,4873,2,149.2
297,65,5594.55,3,3,34,0.12,8791,13,324.9
66,83,2471.78,6,2,33,0.05,8108,10,1694.7
158,5,6087.88,7,4,59,0.21,1091,3,481.06
154,34,6023.83,3,6,33,0.27,6587,35,2766.83
364,96,7463.87,9,5,3,0.01,8214,20,1365.23
346,76,6147.1,4,1,7,0.1,1829,36,6917.12
302,36,811.96,4,1,35,0.03,8676,19,2083.03
240,54,295.63,11,6,22,0.24,286,20,1544.41
68,52,2062.61,2,8,16,0.19,6572,21,1830.24
109,42,8341.58,11,4,59,0.22,2113,10,1110.12
331,83,5121.32,3,2,40,0.12,7252,10,640.49
28,34,2345.16,12,5,22,0.26,8887,27,2515.17
243,32,6691.98,5,2,36,0.16,9854,27,1478.77
304,84,4650.59,5,5,26,0.11,3405,27,4431.17
309,87,4836.72,1,2,37,0.23,4355,19,996.54
24,66,6812.94,12,9,26,0.19,461,11,963.04
70,13,7343.43,12,3,39,0.23,1660,24,3806.46
21,83,2724.23,14,1,40,0.09,9045,35,2567.54
119,48,957.8,5,6,31,0.17,1603,34,1415.66
353,70,3718.23,3,4,56,0.18,404,0,0.0
331,36,3000.2,8,8,5,0.23,434,3,480.16
155,39,5034.22,2,5,58,0.12,2877,35,6505.22
335,11,1847.47,10,4,25,0.18,3882,22,4198.25
255,7,641.45,9,1,45,0.0,9309,5,912.76
360,29,4179.64,5,8,36,0.05,8570,10,688.23
93,88,6979.76,12,2,11,0.27,8606,16,2658.88
229,55,8867.24,3,8,20,0.2,7373,28,3774.22
244,80,5507.86,7,2,17,0.03,9378,33,5326.29
26,53,3119.17,5,1,35,0.05,4007,34,2430.26
267,64,3133.83,12,1,31,0.02,4640,3,357.05
92,36,8424.6,2,4,20,0.03,9330,34,4422.85
249,21,2381.28,11,1,36,0.28,2795,31,1776.83
156,73,3860.93,10,3,51,0.04,8877,26,2071.65
84,50,8143.39,12,2,47,0.23,708,1,65.43
129,44,8386.98,5,2,27,0.06,225,17,1846.11
328,93,3779.52,3,1,24,0.26,6694,14,2722.67
198,44,4384.08,13,6,22,0.08,9540,16,2114.93
28,36,5838.29,8,3,42,0.15,2527,14,703.49
244,95,7145.94,4,8,57,0.18,1381,5,403.35
142,42,2260.77,2,2,49,0.08,9051,32,5009.25
302,67,6702.85,8,4,34,0.14,2199,13,2555.73
56,60,5001.79,6,4,33,0.02,23,18,739.72
242,66,681.18,5,2,1,0.01,2563,29,2354.57
51,7,2926.8,11,9,42,0.0,748,26,1788.61
208,7,1960.29,1,5,3,0.18,5471,11,1901.18
14,57,1943.12,7,8,44,0.11,8475,8,1079.96
312,7,7029.51,5,2,10,0.12,7304,13,775.49
291,96,1886.86,12,6,16,0.01,499,28,4343.53
326,35,6370.31,3,2,15,0.07,7117,34,5761.63
328,65,2187.29,7,8,44,0.04,1284,22,2601.62
21,65,9550.23,5,3,56,0.09,9686,0,0.0
273,29,1183.56,8,8,5,0.23,7580,31,2947.24
21,57,4369.82,9,9,19,0.07,6718,6,715.66
37,33,6042.29,7,5,36,0.25,4312,3,380.0
265,3,8669.74,9,6,43,0.1,2546,2,194.87
186,48,1011.05,12,8,58,0.28,7176,35,2458.55
12,51,5769.23,8,7,19,0.16,6816,21,2050.67
335,16,231.96,11,7,1,0.24,3156,2,289.35
125,80,6754.47,10,3,54,0.06,3701,24,2376.81
347,23,4872.66,2,5,9,0.29,8079,5,771.86
275,64,9059.11,10,6,16,0.24,6434,35,5074.37
88,67,3008.28,9,5,10,0.06,109,32,2777.65
95,26,190.24,2,2,41,0.23,7635,17,1944.3
133,35,4216.39,12,6,54,0.15,9542,17,1154.13
357,22,846.37,9,8,38,0.03,41,31,1118.63
222,51,754.67,9,2,27,0.11,6303,38,2606.53
343,95,642.11,3,8,19,0.27,5910,28,617.46
330,24,1224.36,14,3,37,0.19,8852,29,2732.51
298,74,7844.36,5,4,33,0.28,6098,11,678.82
28,53,4416.03,4,5,30,0.02,2507,4,447.54
280,55,9824.84,9,5,52,0.29,3904,27,5115.12
163,86,3090.61,9,8,44,0.07,8386,7,1335.2
268,82,858.39,8,9,17,0.24,8072,39,1429.88
6,53,8608.02,10,6,9,0.28,1995,28,4948.33
25,35,7302.77,14,4,16,0.05,6324,19,3547.02
60,49,7565.6,7,2,13,0.25,3517,34,4983.87
184,32,8874.44,6,5,28,0.02,3150,20,2712.31
55,56,5777.43,6,4,11,0.24,4843,16,2133.27
80,7,2697.41,4,8,9,0.06,1757,36,6360.87
247,3,4541.65,7,9,7,0.22,9052,5,658.66
344,46,9094.7,6,4,10,0.17,428,16,2974.71
52,32,3551.82,10,1,41,0.02,296,8,262.99
324,38,6574.76,10,8,23,0.06,6055,31,2833.54
107,52,6277.06,1,7,33,0.23,7520,39,1790.31
85,21,6894.11,12,2,16,0.25,8884,1,176.84
92,13,2817.45,2,4,12,0.27,6120,22,3422.99
309,67,7218.25,14,4,36,0.06,2643,39,6033.66
92,23,8177.67,6,9,39,0.28,4714,7,1161.89
33,97,3360.4,10,5,59,0.17,2748,8,1581.69
176,29,8390.7,4,9,53,0.16,1808,17,874.28
131,8,7925.79,12,8,14,0.2,6131,33,6477.51
352,65,2849.15,2,6,15,0.02,6915,38,7594.33
158,67,857.74,10,5,25,0.07,5926,34,5649.89
25,29,3812.46,9,5,47,0.02,5923,23,2428.76
275,14,1774.84,6,8,8,0.1,8211,33,3351.92
312,93,3380.92,4,7,34,0.01,8307,31,750.33
342,3,5917.26,3,4,13,0.13,3590,16,472.13
150,87,972.2,5,8,14,0.06,3197,22,2967.09
329,6,7463.17,11,4,50,0.13,9326,26,3093.14
87,13,7692.9,11,1,16,0.3,4397,4,541.51
238,56,2663.8,4,6,26,0.29,7432,3,387.6
136,47,7551.86,7,2,5,0.2,8008,7,709.69
292,18,3636.03,12,9,25,0.02,7069,32,5538.78
152,81,9564.43,1,3,39,0.07,7700,33,6421.54
311,86,7384.97,14,3,36,0.04,9476,9,1317.74
105,14,4470.53,14,7,26,0.09,3842,4,523.43
347,17,1191.07,9,4,16,0.1,5331,11,519.09
340,23,9491.25,2,8,39,0.15,2565,15,833.08
63,20,9634.68,13,1,16,0.29,3630,6,418.0
43,25,4059.57,3,7,33,0.01,7410,39,4363.55
148,79,8490.42,4,9,8,0.25,6036,19,3591.62
262,68,8869.55,1,2,58,0.23,7983,38,1060.43
136,71,4057.92,13,2,39,0.23,9857,39,3878.62
350,50,5022.09,13,1,45,0.22,2158,37,5826.5
78,47,1241.35,13,2,22,0.13,6304,8,583.79
156,26,4661.89,13,8,18,0.11,5137,36,4081.27
56,38,5106.21,3,6,54,0.01,1509,25,1943.59
330,32,1610.97,14,6,38,0.25,1890,39,2683.57
232,73,4516.65,5,5,42,0.2,811,3,392.55
72,52,1890.03,6,3,7,0.07,4481,32,3109.78
41,97,5971.5,13,6,57,0.22,3422,21,1534.52
110,81,1091.43,11,8,35,0.15,868,36,5985.34
61,72,1482.39,9,1,49,0.21,2998,10,1391.17
303,39,3649.35,7,5,16,0.12,7775,28,2116.82
71,57,7530.53,12,7,23,0.16,3390,32,4677.5
294,61,4367.83,14,8,46,0.25,5873,7,1394.03
148,94,9140.17,8,5,34,0.07,5387,8,1228.8
205,23,7229.61,12,6,25,0.08,9533,27,1762.03
109,98,2638.83,7,5,23,0.29,9477,13,2264.24
329,42,5276.49,9,2,36,0.26,4773,8,850.48
4,8,1684.25,3,3,37,0.05,2163,23,1044.73
164,41,8975.43,14,8,33,0.26,522,13,1170.43
35,17,8031.59,2,2,23,0.08,5665,32,2596.19
217,64,5319.01,7,1,32,0.02,2344,13,1228.22
18,35,1320.2,10,2,50,0.11,8974,16,1380.57
29,34,7519.99,9,6,21,0.15,889,19,1407.21
323,36,4791.1,1,1,35,0.18,9881,5,860.13
89,94,6713.81,10,4,32,0.15,3975,39,4596.86
67,32,7190.24,1,5,45,0.26,5944,8,1378.99
225,15,1578.7,9,7,22,0.25,7375,9,633.16
225,9,3530.85,13,3,5,0.28,5876,2,313.28
325,92,1021.3,7,2,55,0.24,8565,6,723.78
322,26,8148.19,12,4,36,0.03,3914,38,1038.6
94,19,9001.54,8,8,5,0.02,1559,2,131.36
272,83,8317.56,9,3,10,0.06,8128,28,2476.98
351,68,9348.38,13,8,14,0.26,2595,17,2396.42
273,18,8007.3,10,8,53,0.19,493,3,429.91
