CustomerID,Age,TenureDays,TotalOrders,AvgBasketValue,TotalSpend,LastPurchaseDaysAgo,Country,PreferredCategory,PredictedNext30dProducts
12004,62,167,24,452.06,10849.44,222,Germany,Grocery,7
11329,58,985,78,448.32,34968.96,147,Germany,Electronics,15
14626,67,502,33,186.81,6164.73,323,UK,Electronics,11
13537,38,627,88,166.55,14656.4,280,France,Sports,9
11537,62,188,44,228.75,10065.0,325,USA,Grocery,1
12011,42,577,61,344.3,21002.3,51,Canada,Sports,15
10342,55,983,107,377.62,40405.34,119,India,Electronics,15
14235,68,794,97,31.18,3024.46,110,Canada,Sports,13
12709,36,289,21,83.96,1763.16,140,Canada,Sports,4
12521,48,725,43,241.71,10393.53,100,Germany,Fashion,18
13687,18,549,39,436.48,17022.72,187,Germany,Books,9
11513,64,1117,83,390.79,32435.57,137,India,Home,4
14099,64,1073,113,15.13,1709.69,364,India,Grocery,20
13331,39,189,91,298.41,27155.31,314,Canada,Books,9
14851,68,796,113,116.24,13135.12,272,Canada,Home,13
13064,57,38,73,399.1,29134.3,329,France,Fashion,11
11246,63,1298,63,491.37,30956.31,342,UK,Grocery,15
10262,29,929,98,190.61,18679.78,214,France,Sports,0
11111,40,320,4,160.04,640.16,36,UK,Grocery,21
11038,57,1001,16,423.82,6781.12,96,France,Grocery,11
12937,32,1011,87,253.28,22035.36,127,Canada,Sports,17
11222,55,800,101,392.13,39605.13,25,UK,Fashion,20
10438,46,1167,58,41.78,2423.24,204,UK,Fashion,19
12587,64,111,57,453.7,25860.9,14,India,Grocery,3
12854,27,249,88,209.24,18413.12,100,UK,Electronics,4
14029,56,464,56,379.55,21254.8,210,India,Grocery,2
11902,34,1049,28,220.41,6171.48,213,France,Electronics,9
13914,68,1383,2,161.21,322.42,34,India,Fashion,21
10867,38,505,83,262.2,21762.6,335,Canada,Fashion,1
13700,24,1097,45,334.76,15064.2,178,Canada,Books,9
14195,31,748,33,394.41,13015.53,205,UK,Electronics,15
12241,54,99,104,439.37,45694.48,266,France,Grocery,14
12863,25,222,3,350.87,1052.61,20,France,Electronics,24
12541,34,1292,103,134.99,13903.97,296,India,Electronics,20
14112,47,110,7,71.8,502.6,225,India,Books,13
11669,50,1231,103,246.11,25349.33,114,Germany,Home,0
11133,39,1378,55,475.19,26135.45,229,France,Electronics,15
14142,31,1390,97,117.8,11426.6,274,France,Home,17
10271,41,270,11,112.26,1234.86,151,UK,Home,7
13387,67,1003,106,257.46,27290.76,287,Germany,Electronics,3
13481,62,1400,13,333.99,4341.87,187,India,Fashion,10
13373,58,159,83,415.34,34473.22,195,UK,Fashion,10
13505,19,853,117,228.1,26687.7,240,Canada,Electronics,19
11443,37,248,100,175.4,17540.0,226,UK,Fashion,10
13997,38,1234,81,153.71,12450.51,250,Canada,Electronics,18
10979,63,390,61,288.36,17589.96,30,UK,Electronics,12
10836,54,1302,64,96.22,6158.08,38,India,Home,16
13933,65,825,3,456.97,1370.91,4,France,Home,8
11510,53,1001,119,375.34,44665.46,189,Canada,Fashion,20
12108,66,942,116,189.54,21986.64,197,USA,Fashion,12
10321,51,1351,11,108.0,1188.0,243,USA,Books,0
13956,67,1181,118,165.11,19482.98,102,France,Grocery,1
14862,18,65,2,417.3,834.6,100,France,Electronics,11
11996,52,731,110,449.46,49440.6,273,UK,Sports,6
10323,63,1172,16,361.53,5784.48,51,USA,Electronics,16
10819,35,950,57,18.35,1045.95,1,UK,Books,16
13719,34,248,1,14.15,14.15,256,UK,Fashion,18
10998,24,938,108,247.94,26777.52,84,India,Sports,0
14184,69,1309,96,136.85,13137.6,114,Canada,Grocery,13
14508,64,1499,78,266.83,20812.74,196,UK,Grocery,10
11343,66,1422,11,89.15,980.65,246,Germany,Fashion,11
14436,67,545,54,355.38,19190.52,70,India,Sports,11
14004,38,1314,109,445.95,48608.55,155,USA,Electronics,14
12528,66,400,63,434.83,27394.29,297,India,Electronics,17
11401,42,689,115,139.27,16016.05,217,Germany,Home,9
10424,62,787,40,404.17,16166.8,252,USA,Books,5
12810,62,320,60,238.94,14336.4,117,Germany,Sports,5
14173,20,590,58,484.54,28103.32,89,UK,Books,8
12056,31,856,43,408.59,17569.37,88,USA,Electronics,21
14486,22,927,87,324.95,28270.65,72,France,Books,10
14648,43,1112,104,212.94,22145.76,37,Canada,Electronics,13
13959,39,355,12,171.68,2060.16,144,France,Home,19
11994,52,630,81,188.2,15244.2,150,Germany,Grocery,23
10460,62,412,23,491.02,11293.46,134,USA,Grocery,21
13737,54,914,12,401.99,4823.88,48,India,Fashion,24
11514,51,894,8,433.94,3471.52,283,UK,Fashion,17
14731,18,155,10,398.71,3987.1,131,USA,Sports,19
11521,52,459,91,279.21,25408.11,22,UK,Fashion,10
14231,32,1301,108,222.77,24059.16,339,France,Sports,2
11452,45,798,36,78.86,2838.96,57,Germany,Fashion,23
10763,57,65,111,475.38,52767.18,99,France,Home,21
13329,40,487,41,16.32,669.12,311,UK,Fashion,17
11230,18,466,44,212.2,9336.8,89,France,Grocery,24
13512,40,1032,119,478.06,56889.14,215,Canada,Home,5
14671,47,555,49,293.12,14362.88,229,Germany,Books,15
10481,54,1210,74,375.0,27750.0,137,Canada,Home,19
12563,19,216,71,236.07,16760.97,20,USA,Grocery,23
10017,36,523,3,350.81,1052.43,281,Canada,Grocery,3
14846,61,959,119,462.64,55054.16,273,UK,Books,19
13287,33,774,68,262.82,17871.76,4,USA,Fashion,14
14293,34,1394,63,235.42,14831.46,340,Germany,Home,22
12657,48,1078,75,207.96,15597.0,266,India,Grocery,16
12610,29,584,71,199.38,14155.98,208,Germany,Home,10
13429,63,593,116,176.37,20458.92,235,France,Sports,0
10557,22,33,71,28.72,2039.12,364,India,Books,18
10931,31,478,111,496.67,55130.37,9,Canada,Sports,14
12523,35,89,97,83.78,8126.66,35,Germany,Home,14
10686,60,937,10,102.97,1029.7,190,India,Electronics,21
14022,50,499,43,298.36,12829.48,37,Germany,Sports,15
12551,37,668,80,93.75,7500.0,57,Germany,Home,13
14169,35,414,26,353.65,9194.9,196,USA,Books,4
12622,39,1432,65,435.36,28298.4,71,Germany,Fashion,7
11731,39,939,110,461.53,50768.3,344,USA,Fashion,5
11675,24,63,88,57.34,5045.92,201,India,Home,15
12140,58,41,45,60.68,2730.6,98,Canada,Sports,22
12507,29,1424,99,454.37,44982.63,222,USA,Sports,0
13978,58,729,79,69.23,5469.17,205,UK,Grocery,8
12947,24,603,66,157.44,10391.04,355,UK,Books,8
14538,68,1050,2,404.48,808.96,139,UK,Sports,3
10407,51,326,118,130.89,15445.02,356,USA,Grocery,1
10281,67,712,118,431.7,50940.6,240,Canada,Grocery,10
12843,51,1179,102,115.52,11783.04,37,Canada,Fashion,20
10441,53,1495,57,453.29,25837.53,257,Canada,Sports,15
14718,25,1002,33,34.82,1149.06,75,France,Grocery,11
13579,34,950,4,341.04,1364.16,221,USA,Electronics,21
14355,34,1151,73,198.38,14481.74,163,UK,Sports,18
12766,58,982,79,201.94,15953.26,219,UK,Fashion,13
13003,51,1236,92,375.57,34552.44,345,Canada,Home,20
13574,46,163,83,393.17,32633.11,87,Germany,Electronics,21
12480,34,471,53,329.53,17465.09,333,USA,Grocery,19
11336,45,536,29,200.96,5827.84,130,Canada,Electronics,1
10855,50,772,24,136.86,3284.64,222,Germany,Books,7
10612,28,1040,88,157.27,13839.76,348,Canada,Grocery,9
14421,31,328,58,190.08,11024.64,172,Canada,Sports,4
12360,18,1091,93,12.55,1167.15,143,Germany,Books,17
12620,42,923,49,224.14,10982.86,42,Germany,Electronics,22
12721,56,202,47,35.81,1683.07,26,Germany,Electronics,15
12684,29,975,113,112.75,12740.75,62,Canada,Fashion,21
13465,59,45,95,273.01,25935.95,109,USA,Grocery,21
13323,65,397,46,433.52,19941.92,234,India,Home,8
14418,37,630,6,96.8,580.8,295,India,Home,17
13082,38,872,23,103.4,2378.2,160,Canada,Sports,13
11764,45,231,34,24.09,819.06,180,Canada,Books,8
11795,19,590,30,423.42,12702.6,95,India,Electronics,3
11968,46,158,113,300.0,33900.0,44,Germany,Home,0
10731,52,994,80,421.38,33710.4,133,UK,Books,23
14386,42,998,83,474.28,39365.24,52,France,Sports,21
13365,65,533,9,389.84,3508.56,279,Germany,Fashion,22
13377,35,856,2,78.91,157.82,195,USA,Books,1
14951,35,63,60,312.48,18748.8,206,Canada,Sports,10
14761,52,99,116,407.12,47225.92,71,Canada,Home,24
10194,20,707,70,287.8,20146.0,4,UK,Grocery,12
13082,51,1360,37,76.65,2836.05,14,USA,Books,12
10757,56,539,28,58.83,1647.24,62,India,Fashion,20
11305,53,818,39,52.63,2052.57,328,India,Sports,18
14451,60,760,19,489.25,9295.75,337,Canada,Sports,22
13651,35,203,116,265.58,30807.28,153,UK,Sports,3
13393,40,734,62,63.09,3911.58,155,Germany,Fashion,5
12567,38,197,40,92.73,3709.2,282,France,Books,16
10454,40,50,104,27.81,2892.24,78,UK,Grocery,9
11891,35,1187,64,118.18,7563.52,51,USA,Grocery,22
13751,60,585,26,457.94,11906.44,100,USA,Electronics,9
13026,33,1226,119,465.8,55430.2,217,USA,Electronics,14
12185,69,32,9,388.59,3497.31,299,UK,Electronics,1
12216,40,1490,63,176.53,11121.39,362,USA,Sports,12
11513,26,677,2,445.58,891.16,355,USA,Grocery,16
10744,45,556,26,43.84,1139.84,274,India,Books,20
13116,60,288,63,67.34,4242.42,315,India,Books,6
10604,18,33,101,148.59,15007.59,304,Germany,Fashion,17
13047,22,1198,22,173.61,3819.42,357,Canada,Sports,20
11132,32,177,113,217.53,24580.89,55,India,Fashion,1
12621,59,764,45,248.43,11179.35,294,France,Sports,2
14343,29,1073,73,184.62,13477.26,178,India,Fashion,24
13831,69,123,108,71.26,7696.08,132,Germany,Home,6
13086,69,771,32,284.18,9093.76,204,India,Books,22
12878,49,304,104,426.9,44397.6,67,France,Grocery,16
10924,46,1441,77,382.3,29437.1,211,Canada,Sports,4
12640,53,1409,100,294.64,29464.0,310,India,Books,14
12800,63,245,2,78.84,157.68,287,Canada,Books,19
13224,64,987,91,10.01,910.91,181,Canada,Home,19
11150,56,1384,107,351.29,37588.03,272,India,Fashion,7
12191,32,271,91,332.04,30215.64,140,India,Electronics,23
12512,49,644,22,289.94,6378.68,228,UK,Electronics,0
10639,59,322,116,372.86,43251.76,18,UK,Grocery,23
14590,55,651,88,381.07,33534.16,217,USA,Fashion,1
13054,18,511,79,285.47,22552.13,133,India,Sports,13
13668,32,687,113,90.59,10236.67,297,Germany,Home,14
11771,62,709,1,16.11,16.11,44,UK,Home,20
14981,47,1351,22,84.02,1848.44,57,Germany,Electronics,10
14245,68,538,37,163.31,6042.47,248,USA,Books,18
10544,55,1154,22,260.79,5737.38,295,UK,Grocery,22
11639,34,529,99,118.52,11733.48,2,UK,Electronics,11
11594,62,376,30,317.7,9531.0,173,UK,Books,18
14584,53,875,20,342.09,6841.8,106,France,Books,2
12838,30,1078,50,200.77,10038.5,255,UK,Books,15
14149,60,922,31,283.89,8800.59,245,UK,Electronics,10
12009,47,553,36,471.77,16983.72,41,Germany,Fashion,1
10330,43,630,39,334.63,13050.57,59,Germany,Grocery,3
12543,44,796,11,323.11,3554.21,55,UK,Sports,0
12944,51,223,111,321.18,35650.98,75,Germany,Grocery,12
13875,66,348,73,40.63,2965.99,42,UK,Electronics,2
10881,64,1457,47,355.88,16726.36,263,India,Sports,7
13155,46,1340,59,48.68,2872.12,346,Germany,Books,2
14679,26,230,30,42.48,1274.4,82,UK,Home,5
13573,33,722,7,157.1,1099.7,8,Germany,Grocery,0
14982,45,487,42,460.76,19351.92,45,USA,Fashion,21
13406,67,1167,37,22.37,827.69,91,Canada,Electronics,16
13101,55,1305,61,78.73,4802.53,97,USA,Electronics,3
10293,34,1465,76,494.36,37571.36,53,Canada,Electronics,8
14097,49,1290,71,188.34,13372.14,103,India,Sports,19
10133,43,1018,30,309.17,9275.1,81,USA,Fashion,9
12637,64,971,69,263.05,18150.45,119,India,Home,4
10609,68,326,75,439.69,32976.75,140,Germany,Grocery,1
14725,50,535,99,247.13,24465.87,113,India,Grocery,12
14550,47,1309,27,143.69,3879.63,71,Germany,Fashion,12
12490,41,995,84,459.69,38613.96,309,France,Grocery,16
14501,43,678,38,259.04,9843.52,56,India,Books,21
13358,21,466,47,302.8,14231.6,42,UK,Sports,8
10464,68,1195,81,401.51,32522.31,341,UK,Grocery,12
13230,35,154,71,405.36,28780.56,126,France,Grocery,1
13084,69,1392,42,481.72,20232.24,351,France,Fashion,18
13539,60,1258,38,415.18,15776.84,118,France,Sports,16
13622,65,1359,67,91.63,6139.21,253,Germany,Fashion,1
11378,23,102,60,70.64,4238.4,349,India,Books,19
11543,59,977,85,138.65,11785.25,233,UK,Electronics,4
12666,63,200,13,59.61,774.93,220,Canada,Books,17
10014,61,1467,72,423.45,30488.4,359,USA,Fashion,24
14721,57,292,66,302.57,19969.62,320,USA,Home,10
14736,58,57,34,44.63,1517.42,221,France,Fashion,23
14576,28,190,64,136.73,8750.72,145,USA,Electronics,8
11061,63,787,101,385.89,38974.89,197,Canada,Grocery,23
14541,65,77,65,410.57,26687.05,154,France,Fashion,7
12574,23,972,72,475.56,34240.32,55,Germany,Sports,18
10892,62,679,100,279.58,27958.0,16,India,Books,0
10361,25,231,26,119.38,3103.88,212,UK,Fashion,21
11105,55,1334,34,40.47,1375.98,40,USA,Fashion,20
14645,23,730,65,339.08,22040.2,292,Canada,Sports,2
12270,20,1287,78,83.85,6540.3,276,USA,Books,16
11427,21,638,92,109.9,10110.8,285,Canada,Home,23
12490,30,1482,86,321.09,27613.74,209,USA,Electronics,20
13078,43,1422,75,245.54,18415.5,66,UK,Sports,23
13940,57,550,33,60.97,2012.01,94,Canada,Books,6
12010,21,1103,3,202.72,608.16,272,USA,Grocery,13
13655,23,724,12,139.83,1677.96,99,Canada,Fashion,10
10845,38,1444,9,453.58,4082.22,109,USA,Grocery,22
12289,62,116,103,41.35,4259.05,163,Canada,Sports,23
13918,53,1314,29,411.3,11927.7,34,UK,Sports,3
13937,52,961,104,67.19,6987.76,240,USA,Grocery,20
13200,35,1316,56,171.77,9619.12,155,UK,Electronics,1
11128,18,1468,19,354.68,6738.92,278,India,Fashion,9
11662,51,673,32,262.48,8399.36,212,France,Fashion,1
12654,64,454,12,88.48,1061.76,243,France,Home,22
12213,33,492,85,230.24,19570.4,231,India,Books,1
14947,67,1381,111,184.36,20463.96,117,France,Books,1
11794,51,634,6,217.7,1306.2,46,UK,Electronics,14
11248,23,327,4,485.28,1941.12,258,UK,Books,16
14610,57,47,79,102.13,8068.27,252,Canada,Books,21
14955,36,94,98,325.01,31850.98,355,Canada,Grocery,15
13034,54,328,103,172.86,17804.58,354,Canada,Electronics,9
14462,68,1120,43,12.24,526.32,219,India,Electronics,2
13310,49,1261,102,436.87,44560.74,4,India,Sports,6
10672,20,934,6,187.85,1127.1,291,Germany,Sports,12
14050,34,260,91,119.29,10855.39,61,Germany,Books,8
12999,39,250,86,92.16,7925.76,335,India,Fashion,13
12425,24,397,29,122.09,3540.61,333,France,Grocery,12
11312,35,183,31,393.6,12201.6,134,Canada,Sports,6
13486,19,30,16,140.55,2248.8,268,Canada,Sports,23
14867,56,1349,77,55.22,4251.94,305,UK,Home,24
11759,69,283,17,406.45,6909.65,243,USA,Electronics,21
11871,21,68,95,331.24,31467.8,58,Germany,Home,13
14976,45,1116,78,129.73,10118.94,7,Germany,Fashion,18
13178,56,596,7,267.63,1873.41,127,Germany,Fashion,2
11755,52,855,108,89.9,9709.2,90,France,Sports,14
12159,58,1270,6,112.6,675.6,51,Germany,Home,1
11557,67,650,9,333.06,2997.54,316,India,Fashion,15
14254,65,1282,22,232.65,5118.3,238,Canada,Electronics,5
12747,39,1417,87,183.91,16000.17,36,USA,Fashion,17
14166,44,1168,72,132.55,9543.6,315,Canada,Sports,3
11760,37,532,15,314.28,4714.2,196,USA,Home,12
13463,27,902,33,497.1,16404.3,42,India,Home,6
13261,23,136,50,400.94,20047.0,318,India,Books,1
14344,67,799,60,278.59,16715.4,89,France,Sports,5
13295,54,749,84,181.49,15245.16,132,India,Fashion,22
13393,29,777,91,214.91,19556.81,260,UK,Grocery,0
10016,58,1463,81,360.91,29233.71,357,UK,Sports,0
12945,28,78,35,422.3,14780.5,296,Germany,Fashion,13
12341,47,1046,95,38.92,3697.4,200,USA,Sports,16
13839,25,77,1,144.43,144.43,84,Canada,Grocery,3
14976,25,1040,93,327.19,30428.67,157,Germany,Sports,24
10191,49,899,53,169.41,8978.73,53,UK,Fashion,2
12936,46,1035,28,399.81,11194.68,192,USA,Books,4
13476,57,233,67,408.52,27370.84,341,France,Sports,16
11235,26,1381,96,16.12,1547.52,274,USA,Fashion,24
14933,30,486,107,215.33,23040.31,320,USA,Grocery,17
10113,44,224,38,202.46,7693.48,287,USA,Grocery,18
12446,19,461,56,156.44,8760.64,83,UK,Electronics,18
10089,39,798,47,176.28,8285.16,82,USA,Sports,17
12625,29,979,101,184.19,18603.19,340,USA,Grocery,20
14028,45,304,115,412.03,47383.45,248,UK,Books,9
14636,37,40,31,381.93,11839.83,86,USA,Home,0
14904,47,770,118,156.14,18424.52,321,UK,Electronics,16
13092,37,1031,70,188.98,13228.6,250,UK,Grocery,10
14703,69,1084,14,488.19,6834.66,358,India,Books,17
14063,19,683,66,223.54,14753.64,250,Germany,Books,8
12795,21,489,77,153.12,11790.24,154,India,Home,24
12599,49,1150,92,436.38,40146.96,186,France,Home,2
10281,42,807,63,303.2,19101.6,247,UK,Books,0
10687,26,1481,85,47.36,4025.6,339,Germany,Books,8
11922,57,114,76,34.01,2584.76,328,USA,Grocery,0
11888,44,1133,94,436.75,41054.5,67,UK,Home,14
11257,37,426,26,221.71,5764.46,294,France,Fashion,22
11100,24,1181,90,249.74,22476.6,60,Canada,Home,3
12917,47,409,27,348.94,9421.38,297,Canada,Electronics,2
12751,21,200,58,301.88,17509.04,288,UK,Home,9
11221,62,203,102,392.58,40043.16,334,India,Electronics,17
11474,29,377,64,20.86,1335.04,195,UK,Grocery,3
12778,60,923,53,126.24,6690.72,199,Canada,Electronics,5
10231,20,694,90,17.37,1563.3,314,Canada,Fashion,21
11425,18,1190,105,316.12,33192.6,25,UK,Grocery,16
10915,18,1023,29,385.96,11192.84,333,Germany,Grocery,17
14765,68,1226,113,26.85,3034.05,65,Germany,Books,24
13273,64,474,21,116.92,2455.32,273,UK,Electronics,8
12838,39,1441,6,498.05,2988.3,261,Germany,Home,8
11326,19,446,63,113.1,7125.3,165,USA,Grocery,24
13121,69,90,12,105.65,1267.8,190,France,Sports,12
12557,20,296,67,276.69,18538.23,243,USA,Grocery,17
12467,60,1119,104,94.05,9781.2,173,France,Books,2
14007,26,82,89,108.2,9629.8,350,France,Home,15
10922,40,1054,52,370.95,19289.4,191,Canada,Books,22
14841,38,81,31,434.07,13456.17,19,Germany,Home,10
12395,31,662,52,183.96,9565.92,179,India,Electronics,1
13306,68,1123,99,181.33,17951.67,335,Canada,Sports,6
13143,55,423,103,239.04,24621.12,218,India,Grocery,3
14201,18,744,62,439.39,27242.18,256,Germany,Home,3
14591,28,899,23,134.4,3091.2,117,Canada,Home,10
13665,21,252,95,471.64,44805.8,298,India,Home,8
14756,46,1178,108,431.72,46625.76,130,UK,Books,10
10794,48,1323,12,17.77,213.24,11,USA,Books,17
13963,28,1408,42,258.59,10860.78,262,India,Fashion,7
10295,38,1327,104,84.84,8823.36,330,USA,Books,16
13892,50,578,119,268.75,31981.25,137,India,Fashion,21
10719,53,174,58,204.96,11887.68,114,India,Sports,6
14391,58,563,117,159.06,18610.02,310,Germany,Electronics,7
12174,22,176,19,31.52,598.88,226,Germany,Home,12
14360,67,851,56,348.31,19505.36,195,USA,Grocery,5
12046,34,856,95,453.81,43111.95,85,Canada,Grocery,7
12768,29,791,47,409.59,19250.73,22,USA,Books,7
11282,21,1063,86,379.32,32621.52,101,USA,Books,15
12871,18,672,60,210.95,12657.0,152,Germany,Home,20
10180,46,1175,118,394.96,46605.28,43,India,Books,24
12819,32,1075,1,56.48,56.48,180,France,Home,2
13367,21,651,94,103.16,9697.04,23,France,Fashion,17
13895,19,283,18,263.66,4745.88,168,France,Grocery,21
12880,33,863,114,425.47,48503.58,340,Canada,Sports,0
14295,35,1120,71,249.81,17736.51,222,Germany,Grocery,20
12072,30,787,82,372.55,30549.1,289,Canada,Grocery,19
12378,38,469,83,142.31,11811.73,150,USA,Home,19
10032,60,192,118,23.34,2754.12,270,UK,Electronics,12
14030,38,1311,43,314.53,13524.79,314,France,Sports,3
10508,69,1183,1,240.41,240.41,167,Germany,Fashion,5
10434,52,325,3,406.24,1218.72,73,France,Grocery,19
11647,69,1113,83,218.2,18110.6,63,UK,Electronics,15
12227,52,392,61,269.02,16410.22,75,Canada,Fashion,12
12483,33,179,80,224.57,17965.6,310,France,Electronics,22
11649,48,815,18,96.56,1738.08,165,France,Sports,15
13656,51,903,26,393.85,10240.1,240,USA,Books,8
13072,53,576,95,261.38,24831.1,92,India,Sports,11
14321,56,1490,92,396.68,36494.56,22,India,Fashion,11
13860,45,305,104,406.2,42244.8,314,Canada,Sports,1
13095,50,828,117,94.51,11057.67,208,India,Sports,6
12578,60,54,60,198.46,11907.6,56,Germany,Sports,5
13132,30,967,23,388.18,8928.14,276,Canada,Home,4
12159,33,369,45,262.3,11803.5,197,UK,Home,20
10443,37,171,65,298.65,19412.25,142,USA,Books,23
14731,53,277,119,52.51,6248.69,237,UK,Fashion,9
12201,26,463,45,203.96,9178.2,236,India,Fashion,24
10126,52,1372,115,251.52,28924.8,37,USA,Books,3
12566,53,310,12,312.23,3746.76,108,USA,Books,12
12023,39,1352,20,388.46,7769.2,118,France,Sports,12
12359,43,1309,57,288.89,16466.73,363,Germany,Sports,20
11007,33,432,44,321.4,14141.6,59,India,Sports,19
11524,31,729,108,267.91,28934.28,308,Canada,Home,7
10093,66,810,85,275.59,23425.15,90,France,Sports,23
13527,56,1243,3,275.63,826.89,246,UK,Sports,8
13556,18,495,2,10.18,20.36,23,Germany,Fashion,16
14496,24,198,48,345.82,16599.36,238,UK,Electronics,9
14679,52,1495,17,418.38,7112.46,242,India,Sports,24
14011,59,1295,108,230.9,24937.2,316,India,Grocery,0
10191,54,1499,91,468.75,42656.25,168,USA,Electronics,24
10413,43,580,73,147.8,10789.4,59,USA,Books,8
11258,28,718,108,277.3,29948.4,164,India,Books,22
11551,48,1273,46,455.14,20936.44,27,USA,Fashion,20
13331,46,164,17,478.44,8133.48,314,UK,Sports,13
12388,65,751,28,454.68,12731.04,16,France,Grocery,13
10545,60,1302,10,90.25,902.5,8,Canada,Fashion,4
14861,55,1424,62,332.62,20622.44,242,Canada,Sports,21
13815,62,68,115,329.49,37891.35,273,France,Sports,12
10268,53,931,32,77.55,2481.6,151,Germany,Sports,10
10874,54,1492,45,417.25,18776.25,356,Germany,Fashion,0
10538,58,598,3,311.05,933.15,350,India,Electronics,0
10455,56,130,48,166.49,7991.52,287,Canada,Fashion,20
10936,63,285,117,379.84,44441.28,164,UK,Electronics,23
13881,29,697,94,317.18,29814.92,287,France,Electronics,4
10924,55,690,72,192.36,13849.92,191,USA,Fashion,4
12301,59,780,91,444.15,40417.65,138,Canada,Home,16
13727,50,901,20,284.81,5696.2,219,France,Electronics,9
11258,29,949,109,101.53,11066.77,298,France,Fashion,4
10180,54,440,85,61.27,5207.95,172,France,Home,7
13561,18,893,32,22.64,724.48,230,UK,Grocery,14
10713,32,384,11,72.34,795.74,229,Germany,Books,8
14104,55,1172,50,71.33,3566.5,46,Canada,Home,3
11792,42,811,26,165.46,4301.96,228,India,Sports,10
14384,46,1242,17,339.16,5765.72,277,Germany,Sports,6
11118,50,1147,70,259.93,18195.1,5,Germany,Home,12
14985,59,76,28,463.36,12974.08,291,Canada,Sports,23
10788,47,254,99,332.27,32894.73,267,France,Electronics,11
12255,47,1231,71,57.67,4094.57,185,France,Books,18
10060,56,1302,49,192.39,9427.11,99,UK,Home,4
13866,22,1311,39,348.93,13608.27,298,UK,Sports,13
